         1870596 function calls (1843851 primitive calls) in 34.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     30/9    0.000    0.000    0.003    0.000 core.py:4524(leave_whitespace)
     1598    0.003    0.000    0.003    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:975(exec_module)
        1    0.000    0.000    0.003    0.003 <frozen ntpath>:1(<module>)
        2    0.000    0.000    0.003    0.002 shape_base.py:1(<module>)
     7822    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     1615    0.002    0.000    0.003    0.000 transforms.py:2053(scale)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
       10    0.000    0.000    0.003    0.000 util.py:251(_inner)
      192    0.003    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
7498/6618    0.002    0.000    0.003    0.000 artist.py:316(stale)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
